id_bank,kode_bank,nama_bank,sebutan,pemilik_id,prinsip_id,is_bank_devisa,mobile_app,link_playstore
53,490,BANK NEO COMMERCE,,3,1,FALSE,neobank dari BNC Digital,https://play.google.com/store/apps/details?id=com.bnc.finance&hl=id
54,501,BANK DIGITAL BCA,,3,1,FALSE,blu by BCA Digital,https://play.google.com/store/apps/details?id=com.bcadigital.blu&hl=id
55,503,BANK NATIONALNOBU,,3,1,TRUE,nobu Go by Nobu Bank,https://play.google.com/store/apps/details?id=com.nobubank.now&hl=id
56,513,BANK INA PERDANA,,3,1,TRUE,Binadigital dari Bank INA,https://play.google.com/store/apps/developer?id=BANK+INA&hl=id
57,517,BANK PANIN DUBAI SYARIAH,,3,3,TRUE,PDSB Mobile Banking,https://play.google.com/store/apps/details?id=com.pactindo.mb.pdsb&hl=id
58,521,BANK KB BUKOPIN SYARIAH,,4,3,FALSE,BISA Mobile by KBBS,https://play.google.com/store/apps/details?id=com.app.vioss4&hl=id
59,523,BANK SAHABAT SAMPOERNA,,3,1,FALSE,Sampoerna Mobile Banking,https://play.google.com/store/apps/details?id=com.dwidasa.bss.mb.android&hl=id
60,526,BANK OKE INDONESIA,,4,1,FALSE,OK Mobile Banking,https://play.google.com/store/apps/details?id=co.id.okbank.app&hl=id
61,531,BANK AMAR INDONESIA,,4,1,FALSE,Amar Bank: Tabungan & Celengan,https://play.google.com/store/apps/details?id=com.senyumkubank.rekeningonline&hl=id
62,535,BANK SEABANK INDONESIA,,4,1,FALSE,SeaBank,https://play.google.com/store/apps/details?id=id.co.bankbkemobile.digitalbank&hl=id
63,536,BANK BCA SYARIAH,,3,3,FALSE,BSya by BCA Syariah,https://play.google.com/store/apps/details?id=id.co.bcasyariah.bsya&hl=id
64,542,BANK JAGO,,3,2,FALSE,Bank Jago/Jago Syariah,https://play.google.com/store/apps/details?id=com.jago.digitalBanking&hl=id
65,547,BANK BTPN SYARIAH,,4,3,FALSE,Sitepat,https://play.google.com/store/apps/details?id=com.btpns.individualfinancing&hl=id
66,548,BANK MULTIARTA SENTOSA,,3,1,TRUE,Bebas by Bank MAS,https://play.google.com/store/apps/details?id=id.co.bankmas.bebas.retail&hl=id
67,562,SUPER BANK INDONESIA,,3,1,FALSE,Superbank,https://play.google.com/store/apps/details?id=id.co.bankfama.android&hl=id
68,564,BANK MANDIRI TASPEN,,3,1,FALSE,Movin by Mantap Mobile,https://play.google.com/store/apps/details?id=com.mantap.pac&hl=id
69,566,BANK VICTORIA INTERNATIONAL,,3,1,TRUE,Victoria Mobile,https://play.google.com/store/apps/details?id=com.victoriamobilebvic&hl=id
70,567,ALLO BANK INDONESIA,,3,1,FALSE,Allo Bank,https://play.google.com/store/apps/details?id=com.alloapp.yump&hl=id
71,253,BANK NANO SYARIAH,,3,3,FALSE,Aira Mobile,https://play.google.com/store/apps/details?id=com.simas.mobile.SimobiPlusSyariah&hl=en
72,110,BPD JAWA BARAT DAN BANTEN,,2,1,TRUE,DIGI bank bjb,https://play.google.com/store/apps/details?id=com.bjbsmb&hl=id
73,111,BPD DKI,,2,2,TRUE,JakOne Mobile,https://play.google.com/store/apps/details?id=com.dev.jakone.mbanking&hl=id
74,112,BPD DAERAH ISTIMEWA YOGYAKARTA,,2,2,FALSE,BPDDIY Mobile,https://play.google.com/store/apps/details?id=mbank.diy&hl=id
75,113,BPD JAWA TENGAH,,2,2,TRUE,Bima Mobile,https://play.google.com/store/apps/details?id=id.co.bankjateng.bimamobile&hl=id
76,114,BPD JAWA TIMUR,,2,2,TRUE,JConnect Mobile,https://play.google.com/store/apps/details?id=com.dwidasa.bjtm.mb.android&hl=en
77,115,BPD JAMBI,,2,2,FALSE,Bank Jambi Mobile,https://play.google.com/store/apps/details?id=com.dwidasa.jambi.mb.android&hl=id
78,116,BANK ACEH SYARIAH,,2,3,FALSE,Action Mobile,https://play.google.com/store/apps/details?id=com.aceh.action&hl=id
79,117,BPD SUMATERA UTARA,,2,2,TRUE,SUMUT mobile,https://play.google.com/store/apps/details?id=mbank.sumut&hl=id
80,118,BANK NAGARI,,2,2,TRUE,Ollin by Nagari,https://play.google.com/store/apps/details?id=com.bn.mobilebanking&hl=id
81,119,BPD RIAU KEPRI SYARIAH,,2,3,TRUE,BRKS Mobile,https://play.google.com/store/apps/details?id=mlpt.siemo.mobilebanking.riau&hl=id
